MeanDecreaseGini,lipid_id_became,lipid_id_miracle,lipid_class,modified_became_id
X9,0.0424310544664816,CE18:3,CE18:3,Cholesteryl esters,CE18:3
X36,0.0417809058442121,LPC22:6-b,LPC22:6-b,Lysophosphatidylcholines,LPC22:6-b
X19,0.0416950786350803,LPC16:0-d,LPC16:0-d,Lysophosphatidylcholines,LPC16:0-d
X126,0.0415258688276525,TG50:5,TG50:5,Triglycerides,TG50:5__1
X27,0.0405782579231545,LPC18:1-c,LPC18:1-c,Lysophosphatidylcholines,LPC18:1-c
X26,0.03961781496266,LPC18:1-b,LPC18:1-b,Lysophosphatidylcholines,LPC18:1-b
X100,0.0381045026318711,SM(d18:1/24:0),SM(d18:1/23:0),Sphingomyelins,SM(d18:1/24:0)__1
X95,0.0377957329284901,SM(d18:0/22:0),SM(d18:0/22:0),Sphingomyelins,SM(d18:0/22:0)
X57,0.0370543529905317,PC(O-20:0/20:4),PC(O-18:1/22:4),Phosphatidylcholine ethers,PC(O-20:0/20:4)
X122,0.0366157772906604,TG50:2,TG50:2,Triglycerides,TG50:2__1
X145,0.0365394383304754,TG55:3,TG55:3,Triglycerides,TG55:3
X109,0.0365340173709037,SM(d19:1/24:0),SM(d19:1/22:0),Sphingomyelins,SM(d19:1/24:0)__2
X93,0.035403416313129,SM(d16:1/16:0),PE(O-18:2/18:2),Phosphatidylethanolamines ethers,SM(d16:1/16:0)
X98,0.0336707532474305,SM(d18:1/22:0),SM(d18:1/21:0),Sphingomyelins,SM(d18:1/22:0)
X35,0.0332778634209544,LPC22:6-a,LPC22:6-a,Lysophosphatidylcholines,LPC22:6-a
X7,0.0331778733726769,CE14:0,CE14:0,Cholesteryl esters,CE14:0
X113,0.0328672842603428,Epoxy TG(16:0_18:1_18:2(O)),Epoxy TG(16:0_18:1_18:2(O)),Epoxy triglycerides,Epoxy TG(16:0_18:1_18:2(O))
X157,0.0324310744810745,TG58:7,TG58:7,Triglycerides,TG58:7__2
X131,0.0317594527475448,TG52:4,TG52:4,Triglycerides,TG52:4
X91,0.0312551488287127,PE(18:0_22:6),PE(O-16:1/18:2),Phosphatidylethanolamines ethers,PE(18:0_22:6)
X52,0.0284139969557163,PC(O-18:1/18:2),PC(O-18:1/16:0),Phosphatidylcholine ethers,PC(O-18:1/18:2)
X159,0.0267928196030599,TG58:8,TG58:8,Triglycerides,TG58:8__2
X55,0.023634188034188,PC(O-18:1/20:4)-b,PC(O-18:1/20:4)-a,Phosphatidylcholine ethers,PC(O-18:1/20:4)-b
X88,0.020829705753184,PE(16:0_18:1),PE(18:0_22:6),Phosphatidylethanolamines,PE(16:0_18:1)
X89,0.0182508268271848,PE(16:0_20:4),PE(18:1_18:0),Phosphatidylethanolamines,PE(16:0_20:4)
X47,0.0172936944896536,PC(O-16:1/18:2)-b,PC(O-16:0/22:4),Phosphatidylcholine ethers,PC(O-16:1/18:2)-b
X147,0.0161849408875725,TG56:5,TG56:5,Triglycerides,TG56:5__1
X43,0.0145472222222222,PC(O-16:0/20:3),PC(O-16:0/18:2),Phosphatidylcholine ethers,PC(O-16:0/20:3)
X137,0.0123142857142857,TG54:5,TG54:5,Triglycerides,TG54:5
